Patient_Name,Registered_Practice,Patient_NHS_Number,patient_email,Last_Consultation_Date,age,sex,imd_score,genetics_snomed,mother_history,sister_history,relative_under_50,bmi_observation,smoking_status
Ava,B82005,498-783-9154,gracemboothe@gmail.com,2023-02-19,41,1,10,0,0,0,0,28.1,266919005
Olivia,B82005,434-838-9110,gracemboothe@gmail.com,2023-06-26,63,1,5,0,0,1,0,18.5,266919005
Isla,B82005,477-742-4840,gracemboothe@gmail.com,2023-04-06,70,1,3,442525003,0,0,0,30.5,77176002
Mia,B82005,404-317-1502,gracemboothe@gmail.com,2023-04-15,77,1,7,0,0,0,0,38.5,77176002
Olivia,B82021,413-970-7938,gracemboothe@gmail.com,2023-09-07,80,1,2,0,0,1,1,31.4,77176002
Mia,B82005,408-306-6134,gracemboothe@gmail.com,2023-04-27,49,0,9,0,0,0,0,24.9,77176002
Mia,B82005,489-653-8035,gracemboothe@gmail.com,2023-12-20,50,1,10,412734009,0,0,0,30.4,266919005
Isla,B82021,476-790-1863,gracemboothe@gmail.com,2023-08-16,84,1,10,0,0,0,0,36.4,266919005
Ava,B82021,451-195-7019,gracemboothe@gmail.com,2023-03-07,35,1,1,0,0,0,0,,266919005
Amelia,B82081,493-584-8574,gracemboothe@gmail.com,2023-12-01,42,1,6,0,0,0,1,22.0,266919005
Ava,B82021,414-270-5636,gracemboothe@gmail.com,2023-09-19,71,1,7,0,0,0,0,30.3,266919005
Isla,B82021,435-624-4157,gracemboothe@gmail.com,2023-10-22,75,1,8,0,0,0,0,26.6,266919005
Isla,B82081,427-677-3693,gracemboothe@gmail.com,2023-08-31,84,1,10,0,0,0,0,,266919005
Isla,B82021,427-127-4627,gracemboothe@gmail.com,2023-07-05,63,1,9,0,0,0,0,29.6,266919005
Olivia,B82021,483-897-6450,gracemboothe@gmail.com,2023-09-03,41,1,2,0,0,0,0,17.0,266919005
Ava,B82021,491-572-8392,gracemboothe@gmail.com,2023-05-05,49,0,10,442525003,1,0,0,25.6,266919005
Ava,B82021,400-476-2306,gracemboothe@gmail.com,2023-09-25,64,1,2,442525003,0,0,0,,266919005
Mia,B82081,461-732-6864,gracemboothe@gmail.com,2023-05-11,40,1,5,0,0,0,0,19.6,266919005
Mia,B82021,402-458-9901,gracemboothe@gmail.com,2023-08-25,83,1,5,0,0,0,0,30.7,77176002
Mia,B82021,471-510-5413,gracemboothe@gmail.com,2023-01-18,44,1,6,765057007,0,0,0,19.1,266919005
Isla,B82081,436-324-1663,gracemboothe@gmail.com,2023-02-09,19,1,3,0,0,0,1,,266919005
Ava,B82005,478-926-2495,gracemboothe@gmail.com,2023-01-21,34,1,8,0,0,0,0,34.9,266919005
Isla,B82081,451-212-2853,gracemboothe@gmail.com,2023-08-13,50,1,1,0,0,0,0,,77176002
Olivia,B82005,457-663-2291,gracemboothe@gmail.com,2023-12-21,26,1,6,0,0,0,0,30.7,266919005
Mia,B82081,438-485-8554,gracemboothe@gmail.com,2023-10-09,60,1,4,412734009,0,0,0,17.9,266919005
Isla,B82081,455-180-1698,gracemboothe@gmail.com,2023-01-08,65,1,1,0,0,0,0,38.9,266919005
Isla,B82021,401-741-1854,gracemboothe@gmail.com,2023-04-10,56,1,7,0,0,0,0,,266919005
Olivia,B82005,495-324-7528,gracemboothe@gmail.com,2023-08-28,59,1,9,0,0,0,1,28.0,77176002
Amelia,B82021,418-737-6249,gracemboothe@gmail.com,2023-03-28,43,1,4,0,0,0,0,,77176002
Ava,B82005,452-783-6791,gracemboothe@gmail.com,2023-10-25,67,1,4,0,1,0,0,30.8,266919005
Amelia,B82081,469-515-5931,gracemboothe@gmail.com,2023-01-14,42,1,6,0,0,0,0,19.1,77176002
Mia,B82081,454-302-5218,gracemboothe@gmail.com,2023-11-30,41,1,3,0,0,0,1,,77176002
Isla,B82005,416-866-5389,gracemboothe@gmail.com,2023-01-02,30,1,6,0,0,1,0,,266919005
Olivia,B82021,423-936-3931,gracemboothe@gmail.com,2023-10-20,77,1,7,0,0,0,0,18.2,77176002
Olivia,B82021,497-297-8125,gracemboothe@gmail.com,2023-11-21,24,1,10,0,0,0,0,32.9,266919005
Ava,B82021,410-610-7287,gracemboothe@gmail.com,2023-02-10,74,1,10,0,0,1,0,25.6,266919005
Amelia,B82021,496-300-5282,gracemboothe@gmail.com,2023-11-14,53,1,3,0,0,0,0,28.8,266919005
Ava,B82081,469-563-1659,gracemboothe@gmail.com,2023-11-12,62,1,7,0,0,0,1,28.5,266919005
Isla,B82081,458-502-2986,gracemboothe@gmail.com,2023-04-21,37,1,3,0,0,0,0,,266919005
Ava,B82081,418-247-3911,gracemboothe@gmail.com,2023-01-14,82,1,2,0,0,0,0,,77176002
Olivia,B82081,470-919-9680,gracemboothe@gmail.com,2023-08-19,25,1,10,0,0,0,0,27.2,77176002
Olivia,B82081,432-739-7694,gracemboothe@gmail.com,2023-03-25,33,1,4,0,0,0,0,,266919005
Mia,B82021,481-971-5736,gracemboothe@gmail.com,2023-05-10,31,1,8,0,0,0,0,25.3,77176002
Mia,B82021,410-572-6534,gracemboothe@gmail.com,2023-08-19,32,1,9,0,0,0,0,30.2,266919005
Isla,B82021,493-397-1262,gracemboothe@gmail.com,2023-11-22,83,1,7,0,0,0,0,30.4,266919005
Amelia,B82021,415-445-9815,gracemboothe@gmail.com,2023-05-25,49,1,1,0,1,0,0,21.5,266919005
Ava,B82081,459-980-3049,gracemboothe@gmail.com,2023-12-11,80,1,3,0,0,0,0,32.6,266919005
Isla,B82081,400-403-5548,gracemboothe@gmail.com,2023-01-28,68,1,9,0,0,0,0,17.8,77176002
Mia,B82081,436-259-8158,gracemboothe@gmail.com,2023-03-07,42,1,1,0,0,0,0,33.8,77176002
Ava,B82005,408-332-4170,gracemboothe@gmail.com,2023-06-12,75,1,9,0,0,0,0,20.2,266919005
Mia,B82021,418-915-3255,gracemboothe@gmail.com,2023-08-17,80,1,8,0,0,0,0,26.3,266919005
Ava,B82021,402-503-7295,gracemboothe@gmail.com,2023-09-18,79,1,1,0,0,0,0,33.4,266919005
Amelia,B82081,453-219-2648,gracemboothe@gmail.com,2023-06-13,39,1,6,0,0,0,1,28.2,266919005
Isla,B82021,471-519-5199,gracemboothe@gmail.com,2023-10-28,75,1,5,0,0,0,1,32.0,77176002
Ava,B82021,483-353-3557,gracemboothe@gmail.com,2023-10-30,75,1,6,0,0,0,0,30.9,266919005
Olivia,B82081,488-198-3200,gracemboothe@gmail.com,2023-10-14,66,1,10,0,1,0,0,34.6,266919005
Olivia,B82005,492-995-5973,gracemboothe@gmail.com,2023-01-10,69,1,5,0,0,0,0,33.3,266919005
Ava,B82005,481-805-3869,gracemboothe@gmail.com,2023-07-14,59,1,6,0,0,0,0,25.0,266919005
Ava,B82005,434-819-1956,gracemboothe@gmail.com,2023-04-28,87,1,5,0,0,0,0,31.0,266919005
